Token,SHAP_Value
shiftmail,0.9296128256256111
email,0.687015731610586
email,0.278378407946279
intrinio,0.9561725360463953
imagga,0.7443717914117762
databasereplication,0.719006149369136
handle,0.3564194948417594
imagga,0.5136317349482695
imagga,0.053828425078614635
shephertz,0.5600495482125893
cloud,0.9644604526869216
shephertz,0.24453547688071098
cloud,0.22066438877988565
playstation,0.4697569747148549
indexing,0.34411592630787524
cloud,0.2828081146756176
travel,0.4987932074560817
travel,0.549976467192117
travel,0.10392638193946879
ermahgerd,0.5466811597047467
ermahgerd,0.3230964330280699
socialevents,1.549818673563216
rsvp,0.3470053636193313
social,0.5193169778257397
