Token,SHAP_Value
shiftmail,0.902392710428785
email,0.7260977726300553
email,0.248490910695419
intrinio,0.695037886050244
photo,0.2069431680012812
photo,0.42491600135117125
photo,0.3577025443690758
databasereplication,0.7334728747873243
shephertz,0.5498574932664937
cloud,0.7034053898398014
shephertz,0.3549088314412856
cloud,0.4942850234919059
playstation,0.34903468342298183
indexing,0.3343131241992552
cloud,0.4472311916916851
fleet,0.3469744549783371
travel,0.4860469402944809
travel,0.45099205426127975
travel,0.15433641409832274
translator,0.38482991603444816
socialevents,1.2915685684882554
social,0.512390244784882
attendee,0.3502875731352807
