Token,SHAP_Value
shiftmail,1.0213369407985624
email,0.6796425657859686
email,0.1625779206513636
intrinio,1.1329418720096887
imagga,0.8594307762414921
photo,0.23209378360628108
photo,0.3673621390505559
photo,0.4369174820087167
databasereplication,0.9447033851187072
imagga,0.42189905811280504
imagga,0.05545000565084912
shephertz,0.5220505688713644
cloud,0.6895226999155852
shephertz,0.3375430419172716
cloud,0.3394781997458592
playstation,0.41400278051023065
cloud,0.2951817443202458
fleet,0.37568331558644275
ermahgerd,0.4844064324727526
translator,0.3314956202191581
ermahgerd,0.1762829256261682
socialevents,1.3800053956866876
rsvp,0.338336856513088
social,0.6246158550557936
