Token,SHAP_Value
shiftmail,0.8753158905059237
email,0.8161865723063144
email,0.35853688085433677
intrinio,0.68967665656794
imagga,0.6986664114589551
photo,0.22967556897393138
photo,0.4486648745180908
photo,0.39876733045187507
databasereplication,0.7944146274037962
handle,0.3276173325792797
imagga,0.3357239232802369
imagga,0.039538333482215256
shephertz,0.4761582742555248
cloud,0.7766674646053104
shephertz,0.3574406899988247
cloud,0.18012668471397678
playstation,0.38997163372491883
cloud,0.35575707007865276
travel,0.4485621103852466
travel,0.39573675054791835
travel,0.1262994652954414
ermahgerd,0.37966200583107934
ermahgerd,0.28304682292193206
socialevents,1.3748674141769293
social,0.6056533100221237
attendee,0.3444682557441563
