Service Description,Service Classification
"Use the Google Analytics Management API to leverage Google's extensive website analytics tools. The API uses GET requests over HTTPS and JSON for requests/returns. Some of the functions available with the API are: List Account, Property and View (Profile) information for a user; manage properties and goals; manage user permissions; and upload cost data to Google Analytics for non-Google paid campaigns. See the extensive documentation for code samples, detailed method descriptions, and more.",Analytics
"Eventful is the world's largest collection of events, taking place in local markets throughout the world, from concerts and sports to singles events and political rallies. Eventful.com is built upon a unique, open platform that enables partners and web applications to leverage Eventful's data, features and functionality via the Eventful API. The Eventful API provides access to the entire site database enabling developers to integrate it and the functionality of the Eventful platform into web applications. Common API tasks include event and venue search. The API uses RESTful calls and responses are formatted in either XML, JSON or YAML.",Events
"WeatherBug is a full source weather provider featuring exclusive data from its own network of over 8,000 weather observation stations in the USA. The API gives you access to live weather conditions, forecasts and severe weather warnings for all US zip codes.",Weather
"Since 1982, The Weather Channel has brought timely weather information to the world. Now you can include weather from The Weather Channel in your own application by signing up for access to our XML data feed. We'll enable you to search for a location and to integrate current conditions and the forecast for today and tomorrow in your application for free.",Weather
"FedEx web services allow businesses to integrate FedEx shipping functionality into their existing warehouse management systems without hosting on-site. Developers can access the FedEx API via SOAP or HTTP POST transactions. The following functionality is available: Rate Services, Service Availability, Tracking and Visibility, FedEx Locator. Further services are available but require the completion of a certification process.",Shipping
"The U.S. Postal Service provides a suite of USPS Web Tools that customers may integrate into their own websites to validate or find mailing addresses, track and confirm mail delivery, calculate shipping rates, and create domestic or international shipping labels. The Track & Confirm APIs provide estimated delivery information and the ability to track packages through the shipping process. It applies to packages shipped through the following services: Priority Mail, Express Mail, as well as Package Services (including Standard Post, Bound Printed Matter, Library Mail, Media Mail) that include Delivery Confirmation.",Shipping
"NOAA's National Weather Service provides weather forecasts, watch & warnings, advisories, and storm prediction. National Digital Forecast Database (NDFD) Extensible Markup Language (XML) is a service providing the public, government agencies, and commercial enterprises with data from the National Weather Service's (NWS) digital forecast database. The API uses the SOAP protocol and returns responses in an XML language called Digital Weather Markup Language (DWML).",Weather
"The UPS Shipping API provides UPS shipping functionalities to be integrated into websites and enterprise applications. This API enables the networking of shipping activities at different locations, dealers, and offices. Business customers will be able to utilize the breadth of UPS services and capabilities. This API is available in XML format which allows the flexibility to integrate into website and application design and layout.",Shipping
"The Zvents Developer API provides programmatic access to objects stored in Zvents. These objects include events, venues, groups, users and tags. The API currently supports a REST interface meaning that all interaction with the API is performed over the HTTP protocol. All API calls support a number of output formats including XML, RSS and JSON.",Events
"Its functions have been split among the following APIs: World Weather Online City Search, World Weather Online Time Zone, World Weather Online Ski and Mountain, World Weather Online Historical or Past Weather, World Weather Online Local City Weather, World Weather Online Marine, Sailing, Surfing Weather, and World Weather Online Ski Weather. This profile is being maintained purely for historical and research purposes.] World Weather Online provides weather forecast and weather api content for worldwide city and towns. The Developer Weather API allows developers and programmers to access free 5 day weather feed in XML, JSON and CSV format for any location by UK Postcode, Canada Postal code, US Zipcode, City and Town name (country and state/region filter) or by using Latitude and Longitude.",Weather
"The Yahoo Weather API allows developers to integrate weather information for any location into third-party applications. Available information includes the 5-day forecast, wind, atmospheric conditions, precipitation, sunset time, astronomy conditions, and more. Developers can look up weather by WOEID (Where On Earth IDentifier), city name, or lat/long coordinates.",Weather
"Weather Underground provides real-time weather information via the Internet. Weather Underground provides weather reports for cities across the world as well as local weather reports for newspapers and Web sites. The Weather Underground API allows developers and users to access data from Weather Underground to integrate the data and functionality into other applications. They offer a variety of plans and pricing, though most use is free. Some example API methods include accessing weather information by cities and regions, retrieving forecast information, accessing satellite images, and current conditions by location. A unique feature of this API is the Developer Dashboard. Developers have great insight into usage and errors in real time. Over 80 languages are supported with this API. Finally, the folks at Weather Underground have come up with a cleaver way to allow for rate limit overages via a tool called Raindrops. This gives developers a cushion to avoid denial of service errors due to spikes in API requests.",Weather
"[This API has been deprecated and replaced by the Current Weather Data, 5 Day Weather Forecast, 16 Day Weather Forecast, Historical Data, History Bulk, Weather Map Layers, Ultraviolet Index, Weather Stations, Bulk downloading, Weather Alerts, Air Pollution, and Accumulated Weather Data APIs. This profile is maintained for historical and research purposes only.] Open Weather Map provides interactive maps of current and historic weather conditions. The Open Weather Map API allows users to retrieve the current weather at a city or weather station, the historical measurements for a weather station, or a list of cities and/or weather stations in a given rectangle (limited by geographic coordinates). The API uses RESTful calls issued in JSON format.",Weather
"Klout allows you to track the impact of your opinions, links and recommendations across your social graph, including Twitter, Facebook, Google Plus and other networks. Klout collects data about the content you create, how people interact with that content and the size and composition of your network. From there, it analyzes the data to find indicators of influence and then provide you with innovative tools to interact with and interpret the data. The Klout API can be searched by identity and returns a score between 1 and 100 that represents Klout's calculation of that user's influence.",Analytics
"Withings is a company focusing on the development of connected measuring devices, such as scales and blood pressure monitors, that can send health information directly to the internet. Withings Body metrics Services API (WBS API) is a set of webservices allowing developers and third parties limited access to users' data. The API uses RESTful calls and responses are formatted in JSON.",Medical
"Eventbrite's API web services allows developers to create users and events as well as pull the associated events into an application. Using the API, developers may access Eventbrite data and create, update, and get events. The API can be used to retrieve a list of attendees, transactions, venues and much more. Developers can sign up for a referral program to earn a revenue share here: http://www.eventbrite.com/referral-program",Events
"uShip is an online shipping marketplace that connects people with customer-reviewed transport companies. Transporters use uShip to place competing bids to win a customer's business and meet their shipping needs. Partners, affiliates, and third party application developers interact with the uShip marketplace through integrations with the uShip API. With uShip is API, users can create applications that interface with the uShip platform and build on existing functionality. Documentation is available by registering on the uShip API Developer portal.",Shipping
"DHL XML Services provides developers the ability to integrate DHL's service availability, transit times, rates, shipment tracking and more from more than 140 countries. The service allows developers to utilize their existing shipping management systems and integrate with DHL via a standard XML based secured platform. Available services include shipment processing, tracking, rate quote, capability, label generation and pickup booking.",Shipping
"The US Stocks Fundamentals API offers access to stock data based on the U.S. Securities and Exchange Commission. Over 12,000 companies are supported with over 8,000 indicators. Developers need to register, and obtain a free authentication Token. Requests are made by using HTTPS, and the API returns CSV data.",Stocks
"Use the eBank IFSC Code API to access eBank's database of over 170 Indian banks and 150,000 branches. The API is free, and has no limits for usage. However, interested parties must register for an API Key in order to use the API. Along with the IFSC code, the API will return: the bank name and address, the MICR code, and the bank district and state name.",Banking
"The Active.com API provides read-only access to data produced by systems within The Active Network. This includes things like running events, tennis tournaments, triathlons and highschool sports data. Several companies, including livestrong.com and ESPN, are active consumers of the API. Monetize your API: Sign up for our referral program to earn a revenue sharehttp://www.activenetwork.com/affiliates.htm",Events
The NCBI Entrez Utilities Web Service enables developers to access Entrez Utilities via the Simple Object Access Protocol (SOAP). The Entrez database contains bioinformatics data.,Medical
"met.no is the joint online weather service from the Norwegian Meteorological Institute (met.no) and the Norwegian Broadcasting Corporation (NRK). met.no offers weather forecasts in English for more than 700,000 places in Norway and 6.3 one million places worldwide.",Weather
"The Looker RESTful API integrates data analytics for business services via reports and dashboards. It is available with HTTP requests and JSON responses, API Key to authenticate, and SDK to interact with various parameters.",Analytics
"Chartie is a free web API that mines the relevant trend patterns from your signal. Thanks to our technololgy, Chartie's output identifies the relevant trend in the input data. Chartie employs these commonly used concepts:Rise and Fall: representing the intuitive idea of signal increments and decrements",Analytics
"iHealth provides wireless scales, blood pressure monitors, and other mobile monitoring devices, along with an app that allows patients to track their own health data, including weight, BMI, bone mass, heart rate, blood pressure, diet, and physical activity. The iHealth API allows third party applications and services to interact with an iHealth user's health data, after user authorization. Responses are given in JSON and XML.",Medical
"QuickBlox is a cloud-hosted backend platform providing communications functionalitychat, video calling, voice chat, presence and notificationsfor mobile applications. QuickBlox also provides modules to power other app featuresusers, location, content and ratings. Quickblox is amongst the only platforms providing native video and voice calling SDKs for Android and iOS. All our other modulestext & group chat, presence, notifications, user, location, content and ratingswork across all platforms including Web, Windows Phone, and Blackberry. Our SDKs are free to download and use for developers, with no usage limits. For professionals and enterprises requiring higher quality of service, SLAs and support, we provide premium, paid packages including integration assistance.",Backend
"Endicia Internet Postage provides technology solutions to the mailing industry. Solutions include Windows-based presort mail software, WYSIWYG mailpiece design software, internet address verification, internet move updating, internet postage with electronic delivery confirmation, and internet postage with international mail. The Endicia Label Server API allows partners to embed web-based, on-demand U.S. Postal Services into their applications and websites so their customers can print Postal shipping labels from within their application. The system produces an integrated label image, complete with (stealth) postage, verified delivery/return addresses, and service barcodes (Delivery Confirmation, Signature Confirmation, Certified Mail, Express Mail, Confirm Services, or customs numbers). Full documentation is not publicly available.",Shipping
"The service gives access to accumulated data on climate for locations worldwide but with emphasis on the continental United States. Data sum conditions recorded annually, by month, by day, and even hourly. Available data include recorded temperatures, normal temperature ranges, heating and cooling degree days, precipitation, and drought conditions. API methods support retrieval of data for a specified time range, annual, monthly, daily, or hourly. Requests specify dataset, locations and location types, reporting stations, and particular data elements to be returned.",Weather
"AerisWeather is a site that provides traditional weather content such as local weather and weather maps. AerisWeather's core product is an API that provides the necessary weather data to power services such as hosted weather sites and weather application development. The API gives developers access to data such as weather advisories, forecasts, geographic locations, storm reports and more. It uses RESTful calls and responses are formatted in JSON and JSONP.",Weather
"CloudMine is a backend-as-a-service platform that removes the need for mobile app developers to build fully custom backend solutions for their applications. It offers a set of RESTful APIs that allows developers to create backend solutions for their applications. Solutions include schema-free data structure storage, user account creation and management, and server-side business logic. Responses are formatted in JSON.",Backend
"New Relic provides a web application monitoring and management service that helps developers troubleshoot and tune production web apps. The New Relic API provides access to all the data stored within the service, as well as deployment notifications.",Analytics
Mixpanel is a web service that tracks user engagement with their websites in real-time. The Mixpanel API allows users to post and access the data that Mixpanel is analyzing. This is a RESTful API and responses are returned in JSON format.,Analytics
"Use the ArtBeat API to get art and design event information for different areas of NYC or Tokyo. Get events by longitude and latitude, area, media, popularity...",Events
Web API for Bioinformatics (WABI).,Medical
"The Galileo API is an analytics platform for APIs, Microservices and Serverless Software. It uses real-time logging to view actual request and response logs as they come in. View a line by line diff between multiple requests response status codes, headers and bodies to spot changes and potential errors.",Analytics
"The Caret API lets users harness their smart device sensors and interconnect them with third party devices & applications to automate customizable status sharing services. Users can share what they are doing in one app when they are doing it via an interactive Caret status. Your status could automatically change when you start playing a game and contain a link, photo and more about that game. For more complex cross-app or sensor triggered statuses, you can order custom built solutions through Caret's Web Communicator With the Caret App you can: Assign real time statuses to phone numbers for sharing with contacts See when & why contacts are available or busy Manage what contacts see about you Call & end-to-end encrypted status based messaging for free Create custom statuses to meet your business needs Discover your contacts' interests in real time Caret is automatable status sharing triggered by your device's sensors (context aware status sharing). With Caret you are able to Personalize presence info with automated context & interactive B2C/B2B services.",Internet of Things
The Cashplus REST API allows developers to access and integrate the functionality of Cashplus with other applications. Some example API methods include retrieving accounts and retrieving transactions. Cashplus is a banking solution provider in the UK.,Banking
"Gain access to OpenWeatherMap's Carbon Monoxide index for any location on Earth. This includes location, latitude, pressure and more. OpenWeatherMap provides open weather data, satellite imagery, IoT, and other environmental data for developers.",Weather
"The Symptom Checker API allows developers to integrate the the symptom checker functionalities into their applications, allowing users to find out what possible diseases they might have. The integrated application also directs users to more medical information and shows them the right doctor for further clarifications. This is a modular programming interface, which offers the symptom checker functionalities for a main program.",Medical
"The Google Analytics Metadata API returns a list of columns and their attributes from the Google Analytics reporting APIs. Column attributes are Analytics View (profile) dimensions and metrics. The API uses HTTP GET with JSON for returns/responses. Use the Metadata API to get attributes like UI name, description, segments, or support, or to discover new columns.",Analytics
"The Beacon Registry allows providers to create and maintain a registration record for the UUID/major/minor combination of any Bluetooth Low Energy device, including iBeacons. The API uses HTTP PUSH and accepts/returns data in XML or JSON. Use the API to program specific information that will be pushed to a user when in proximity of your Bluetooth Beacon.",Internet of Things
"Met.no is a Norwegian Meteorological Institute that provides the public with meteorological services for both civil and military puposes. The Met.no Weather API lets developers to integrate the institute's weather information and services with their applications, enabling direct access for users of the applications. The API is REST based, and uses HTTP Basic Authentication.",Weather
"Ludei helps its users develop apps and games with HTML5. Developers can use any app framework or game engine they want. Ludei provides access to tools that perform remote testing and debugging directly on devices. Its cloud-based compilation system deploys across all platforms, producing the same set of HTML5 features on every device and OS. Users can access the cloud compilation system programmatically via REST API.",Application Development
Rank Tracker R/T is the first and only Real-time search engine rank tracking application available on the market today. Rank Tracker will track your keywords in Google and other local searches and provide real-time rankings analysis and competitor metrics. It also allows users to create professional reports including company branding and logo.,Analytics
"Bank Swift IFSC Code is a service that allows users to get any Indian bank's Branch IFSC Code and details. The database includes more than 150 banks and one million branches. The Bank Swift IFSC Code API enables developers to programmatically access their database of IFSC codes, Swift codes, Micr codes, branch codes, and other details for free. A PHP implementation of the API is available.",Banking
"F5 is an IT company that improves network security. Some of the solutions include networks functions virtualization, secure web gateway and cloud migration. Products involve platforms, modules, BIG-IP and BIG-IQ device, cloud and security. To access more information developers can visit the link iControl CodeShare, where they will have access to iControlREST and over 100 sample applications.",Application Development
"CubeSensors are small devices that contain seven different sensors for detecting environmental conditions. They are capable of monitoring air quality, temperature, humidity, noise, light, barometric pressure, and sensor motion. CubeSensors glow different colors to reflect the health of indoor environments. The CubeSensors API enables developers to access CubeSensors sensor data programmatically.",Internet of Things
The Embed API is a JavaScript library that gives one ability to easily insert a Google analytics dashboard into any 3rd party website. Queries to the Embed API are made to invoke different components and visual reporting displays. The end result is a simple yet powerful interactive timeline chart with integrated authorization that displays usage factors over time. The API also gives access to the client library which contains other Google Analytics APIs to allow for increased complexity.,Analytics
"Beebotte provides key building blocks to accelerate the development of Internet of Things and real time connected applications. Beebotte supports REST, Websockets and MQTT protocols to connect anything and everything in real time.",Internet of Things
"The U.S. Postal Service provides a suite of USPS Web Tools that can be used to validate or find mailing addresses, track and confirm mail delivery, calculate shipping rates, and create domestic or international shipping labels. The Domestic Mail Service Standards APIs can help predict when a package will arrive at its destination. APIs are available for Priority, Package (which includes Standard Post Bound Printed Matter, Library Mail and Media Mail) First Class, and Express Mail types. The USPS reiterates that these are predictions, or standards, and not guaranteed dates.",Shipping
"Ahrefs is a web explorer that can be used to verify link validity. The service updates every 15 minutes and includes tools to show link domains, anchors, and top pages within a domain. The Ahrefs API is offered as a free service and a paid service. Using REST calls, users can make calls to retrieve backlinks, and other data. The API also exposes the Ahrefs interface to be integrated into third party applications. An account is required with service.",Backend
"AngularJS is a platform that allows developers to extend static HTML vocabulary to interactive content in web and mobile applications. The AngularJS API allows developers to access and integrate the functionality of AngularJS with other applications and to create new applications. Some example API methods include managing account information, retrieving features, and sending and receiving data.",Backend
AppFog is a Portland-based company that serves as a platform-as-a-service provider for launching cloud-based apps. The service is open source and the site strives to further web and app development. The AppFog API requires an account and use of the current AppFog services. The API uses REST calls and allows access to integrated data checks of the AppFog platform.,Backend
"StubHub is an online platform for people to buy and sell tickets. Users can list and sell concert tickets, sporting event tickets, and other event tickets for others to purchase and use. The StubHub API allows developers to access and integrate the functionality of StubHub with other applications and to create new applications. Some example API methods include managing account information, retrieving events and listings, and searching ticket inventory.",Events
"Eventfinda is an online calendar of cultural events for New Zealand. Users can join for free and customize a weekly newsletter featuring information on the types of events and locations that they're interested in. Users can also create and manage a list of their favorite events, post their own events, submit reviews, and notify others of which events they're attending and whether they're looking for people to go with them. The Eventfinda REST API version 2 allows users to access the events database programmatically using HTTP calls issued in XML, JSON, or JSONP.",Events
"The service provides help shipping parcels, both within its native U.K. and worldwide. It is available via an online interface or through white-label hosted pages or web service calls for complete integration with existing order management systems. Functions include shipping quotes for specified packages and points of origin and delivery, with booking of shipments and scheduling of pickup and delivery. API methods support integration with an existing proprietary ordering system to specify package contents and weight along with sender and recipient addresses. Methods also support booking of a quoted shipment and submitting pickup orders to a selected carrier.",Shipping
"SPEEDY Express Delivery Services is a Bulgarian shipping company that provides door-to-door courier and transportation services throughout Bulgaria and around the world. SPEEDY also provides insurance for shipments, temporary storage, online shipment tracking, and packaging services. Many of SPEEDY's online services are accessible using SOAP calls. The website is provided in both English and Bulgarian.",Shipping
"ShipStation is a web-based shipping solution that streamlines the order fulfillment process for online retailers. ShipStation integrates with USPS, UPS, and FedEx for retrieving rates, creating shipping labels, and much more. The ShipStation API allows you to feed orders, customers, and products into ShipStation in addition to querying on a wide variety of data.",Shipping
"The service provides delivery services from Canada Post that can be integrated with e-commerce and retailing applications serving Canadian customers. In addition to basic shipping of purchases, it allows online stores to incorporate rate discovery and package tracking. Applications can specify a number of shipping options to customize delivery services. API methods support specification of shipping location and delivery address, determination of shipping charges, and completion of documentation to send a package through Canada Post delivery services. Methods also support specification of available shipping options and package tracking while en route.",Shipping
"The service provides postal delivery to locations in Australia. Integrations are available to review and specify delivery options, calculate postage cost, and complete payment for delivered purchases. API methods support listing and specification for available delivery services, based on the sender and recipient location with address validation, delivery date and time, and other specifications. Methods also support calculation of shipping cost based on options chosen. The SecurePay API manages collection of funds for purchases and payment to the sender.",Shipping
"The service provides information about the nutritional content of more than 130,000 foods. Search and look-up functions are available on the site, by licensing the database, or via API. Applications supported include nutritionist sites, health-care providers, health clubs, and organizational wellness programs. API methods support search across the database for matches to a food name. Methods also support a food detail listing of complete nutritional content, including calories, fat percentage, carbohydrate grams, and other nutritional information.",Medical
