Category,Sample_Count,Word_Count_Min,Word_Count_Max,Word_Count_Avg,Char_Length_Min,Char_Length_Max,Char_Length_Avg,Top_10_Words
Photos,184,10,176,71.7445652173913,60,1041,405.7119565217391,"api(339), photos(155), users(134), photo(117), images(116), allows(111), developers(108), image(107), service(92), access(73)"
Music,191,5,238,72.85340314136126,21,1445,409.08376963350787,"music(319), api(311), users(118), allows(110), access(104), developers(91), data(78), service(74), information(69), applications(69)"
Cloud,173,30,168,73.48554913294798,168,921,427.39884393063585,"cloud(336), api(331), developers(132), data(127), service(107), applications(103), users(95), allows(85), provides(71), access(71)"
Other,157,6,205,74.03184713375796,33,1013,424.88535031847135,"api(241), data(111), users(108), access(91), allows(90), developers(81), applications(78), web(65), service(63), information(62)"
Database,135,29,315,77.77037037037037,148,1891,444.837037037037,"api(238), data(201), database(117), users(80), allows(71), access(66), developers(65), service(64), applications(62), information(61)"
Education,213,34,225,78.95774647887323,197,1278,465.76525821596243,"api(362), information(139), data(133), access(111), provides(102), users(88), allows(87), online(85), developers(85), learning(83)"
Project Management,140,22,138,73.1,120,785,430.1142857142857,"api(231), management(149), project(137), users(95), allows(90), projects(82), access(72), service(70), applications(68), data(65)"
Games,200,28,158,71.12,153,886,394.17,"api(353), game(220), games(135), developers(111), users(107), allows(99), data(93), information(86), provides(71), access(69)"
Bitcoin,141,34,168,74.15602836879432,207,879,431.78723404255317,"api(344), bitcoin(184), developers(103), allows(86), access(75), data(71), exchange(69), information(69), users(69), payment(58)"
Data,140,23,267,72.75714285714285,141,1529,425.34285714285716,"api(285), data(257), allows(79), developers(78), information(53), access(48), provides(44), applications(44), platform(37), json(32)"
