feature,importance
league,6.0339897889749995e+63
both rest,6.017172157043622e+63
commerce,5.9571871228568666e+63
relevant,5.852207272584453e+63
coordinate,5.6522719870071355e+63
apis are,5.538980585941258e+63
wallet,5.4894579447676795e+63
create manage,5.463697355805931e+63
assessment,5.455019290356421e+63
api enables,5.453510239243068e+63
york,5.437988062639901e+63
through this,5.432608920124315e+63
are provided,5.4143519533763995e+63
for people,5.403095346555307e+63
this json,5.3852783098989504e+63
push notification,5.3699225138276784e+63
developer deploy,5.314059897075717e+63
facilitate identification,5.229692101502776e+63
can utilize,5.20704972519938e+63
tv,5.145161641926278e+63
property,5.09433150531188e+63
visibility,5.0942953324525044e+63
timing,5.07885860825441e+63
shipment,5.014833048868611e+63
serialized,5.001366563607572e+63
user have,4.982066954723527e+63
from anywhere,4.970794508913801e+63
train,4.950737438854288e+63
most recent,4.9387560016426336e+63
shopping cart,4.910114811881857e+63
email marketing,4.899815158776863e+63
domain,4.896008027780452e+63
coupon,4.877174413629703e+63
is business,4.869999644443128e+63
can use,4.868183729444738e+63
currency exchange,4.858052681256828e+63
aspect,4.849199714925589e+63
suite,4.846923883782153e+63
mapping,4.828452676631027e+63
disease,4.825017573920311e+63
weather,4.822426916151743e+63
drag,4.807993848794848e+63
it doe,4.805548525108295e+63
sharing service,4.799469772696427e+63
opinion,4.7950688181547026e+63
free account,4.787324923149095e+63
of search,4.778655693545563e+63
create custom,4.7657998205643355e+63
future,4.7448463310600075e+63
feature,4.723512772172517e+63
artist,4.721781366404281e+63
neighborhood,4.699657769636576e+63
exchange price,4.673228382692946e+63
advertising,4.6610828244164584e+63
text speech,4.653560650534268e+63
storage,4.6442356595660186e+63
education,4.638781868116455e+63
steam,4.635828655541716e+63
print,4.628570890440728e+63
flashcard,4.6207865979219756e+63
mendix,4.618486196547838e+63
church,4.592269642337465e+63
security,4.56809230165413e+63
sport,4.548329732743287e+63
ooyala,4.542652477983469e+63
gaming,4.541177564922998e+63
friend,4.526565325475741e+63
of energy,4.526565325475741e+63
real estate,4.505466282344129e+63
secure,4.497333610813637e+63
drive,4.494545841637137e+63
longitude,4.470589160229706e+63
estate,4.4684560406692924e+63
search api,4.464731185631658e+63
creating new,4.4564017414849196e+63
created by,4.420997303658285e+63
removing,4.418039050586809e+63
enables comprehensive,4.4154343418287994e+63
bible,4.3753578875961646e+63
banking,4.359517339687289e+63
ecommerce,4.357668963029241e+63
cloud platform,4.3508903713072024e+63
cryptocurrency,4.3414093271640915e+63
purchase,4.3331821891400145e+63
egnyte,4.328053545125079e+63
bitcoin,4.3148711313815875e+63
return json,4.302778105555227e+63
calling,4.298625301681657e+63
employee,4.2932619994120546e+63
project task,4.290375851931996e+63
ultimate,4.2844567290074026e+63
follows,4.273104322142099e+63
all kind,4.246164833307854e+63
their game,4.233569702358215e+63
museum,4.206768916960848e+63
pdf,4.185755751303435e+63
view,4.185685876954197e+63
reservation,4.168898202662993e+63
for those,4.1583434225676824e+63
number of,4.147851077754591e+63
medication,4.135654239391478e+63
meteorological,4.135064237690899e+63
of given,4.121845355062681e+63
student,4.1118533590139296e+63
analyzing,4.108219891927178e+63
protein,4.1036081185057064e+63
platform rest,4.098259048645746e+63
of government,4.08987836718084e+63
entry,4.087098005058379e+63
public transport,4.058378469055857e+63
amazon,4.029773912399703e+63
care,4.0168357495858066e+63
fantasy,4.007615297084273e+63
it support,4.006169120289579e+63
industry,3.9640880794195465e+63
github,3.9620239724072345e+63
internet based,3.9604758659722685e+63
pair,3.959507560583978e+63
delivery,3.937186756127058e+63
theme,3.918573711310957e+63
researcher,3.914739269023009e+63
sequence,3.9026878228457956e+63
open source,3.865444510742234e+63
blockchain,3.841419985160939e+63
of medium,3.838898900253127e+63
backend,3.81597760722132e+63
part,3.806117802145148e+63
logistics,3.8058253602811314e+63
payment platform,3.800503148163729e+63
advertising campaign,3.79941872187674e+63
endpoint,3.780988479173361e+63
football,3.7564471113830644e+63
some of,3.738018272546954e+63
integrates chat,3.725121893602091e+63
member of,3.7251218361110606e+63
internet of,3.723300094914589e+63
url,3.68874074047719e+63
whois,3.687966932303593e+63
soccer,3.6801427819943114e+63
polysync with,3.613921246178841e+63
online store,3.6000328786070954e+63
trading,3.584861383189607e+63
digital,3.549493749949849e+63
vehicle,3.549347307776569e+63
mail,3.545848123479038e+63
variety,3.524675817873912e+63
artificial intelligence,3.509766171104397e+63
people,3.504590967242982e+63
upon,3.4909762433418275e+63
payment processing,3.488296287065009e+63
bitcoin exchange,3.483910416715817e+63
project management,3.470922950335187e+63
involvement,3.4635223563114326e+63
mapbox,3.455529330070567e+63
earth,3.433912872075112e+63
sportradar is,3.4335938082254565e+63
solution,3.390076199912724e+63
input,3.389247761644181e+63
iot,3.3834187354748795e+63
transportation,3.3466051810063155e+63
for retrieving,3.321751765333731e+63
academic,3.295582431177301e+63
much,3.1902983876506448e+63
university,3.179258085671742e+63
movie,3.1409108859672154e+63
merchant,3.136141161871299e+63
lead,3.1195631703195803e+63
multi,3.1192437181998875e+63
corporate,3.1133565512811554e+63
planned,3.1017770279931023e+63
delivers,3.065432104030583e+63
registry,3.064919363648822e+63
verified,3.050891468211076e+63
community,3.0178023029327984e+63
term,2.945362176556242e+63
for audio,2.9363677430188372e+63
ha many,2.9294300467712294e+63
hotel,2.840679181588857e+63
service with,2.839513563719916e+63
all one,2.814331935078824e+63
viewdns info,2.7468357440074378e+63
publisher,2.7306638939655673e+63
photo,2.7238247778147248e+63
news,2.6634236981468176e+63
plan,2.6177688144825764e+63
ad,2.483915293105239e+63
xml format,2.4720233382123734e+63
sm,2.273613907429211e+63
whose main,2.211988446782265e+63
detection,2.1199576430826693e+63
general,2.1139441565831715e+63
company based,2.0812552040816618e+63
choose,2.0266777247370813e+63
apps it,2.0266777219646785e+63
expose,2.023109279096831e+63
before,1.9803122052938647e+63
email,1.9293135846105176e+63
service service,1.8966425348744565e+63
market,1.7952274355171867e+63
service,1.686145500150607e+63
medium,1.6370339789610584e+63
gene,1.5935231815335715e+63
travel,1.5660737676734323e+63
tour operator,1.5374792694976948e+63
enterprise,1.5165148522883229e+63
handle,1.5143162928850726e+63
government,1.4674758923656647e+63
programmatic,1.3903653735214392e+63
logo,1.3747937316821505e+63
file,1.3721006716637114e+63
science,1.3636997822431402e+63
charge,1.3200906181142037e+63
instant,1.3026644189995791e+63
phone,1.2860784929498322e+63
topic,1.257234032110268e+63
department,1.1735548983638791e+63
java,1.1604213422969478e+63
implement,1.1354061761353962e+63
mobile,1.078056157280215e+63
allows you,1.069304221402652e+63
manages,1.0600259368187514e+63
music,1.019162232988975e+63
medical,9.319559768890135e+62
who,9.315867114570533e+62
bank,9.212769493720301e+62
imagga,8.760922932420329e+62
lesson,8.7604583440647e+62
collection,7.498337027040299e+62
financial,6.499213317083335e+62
event,5.992036137099872e+62
it us,5.883138740882807e+62
price,5.757938347132194e+62
communication,5.09898610968083e+62
state,4.92343274785564e+62
device,4.426714515478903e+62
their application,3.467273166186779e+62
contains,2.7342008212222055e+62
each,2.7067278312419745e+62
sharing,2.694392727881775e+62
server,2.6752104491964924e+62
word,2.579234642844803e+62
send,2.579104247163881e+62
should be,2.5588784839301706e+62
retrieve,2.5588784837661202e+62
api developer,2.212157308742943e+62
material,1.9536628562752217e+62
product,1.9188996597243687e+62
document,1.907946461995396e+62
structure,1.8612721624304303e+62
payment,1.832906256102237e+62
method,1.8048224957409654e+62
little,1.8046824529924696e+62
game,1.5555186262449532e+62
image,1.5254634077160614e+62
business,1.456692311562958e+62
analytics,1.3954613412307212e+62
apis,1.365524701434295e+62
messaging,1.3552108439691548e+62
offer,1.2247264149259676e+62
developer can,1.1390757680638351e+62
architecture,1.139074708465618e+62
is free,1.0210754284628388e+62
engine,9.506475159119333e+61
rest api,7.274541534974476e+61
video,7.108183880806261e+61
request,6.640370087022657e+61
project,6.409387639777712e+61
order use,5.402342713264656e+61
voice,4.727204884965935e+61
task such,4.133257477762584e+61
result,3.4057256430997836e+61
open,3.3792366698512935e+61
trial,2.831481936766146e+61
development,2.4657179319050171e+61
json format,2.3312567697956284e+61
map,2.2022503689373637e+61
give,1.9573094301448538e+61
such,1.1828434846813256e+61
with,8.036857572437637e+60
location,6.2942457397477955e+60
if,6.262623293355811e+60
become,3.1194406627466484e+60
water,7.0181087744812905e+59
comparison,6.3238605820789285e+59
chemical,6.299654746790533e+59
transit,6.257075787499101e+59
docker,6.227057276793244e+59
move,6.044690177438364e+59
web map,6.042747250213469e+59
school,6.035679605387527e+59
real,5.935705141263641e+59
based solution,5.913369665784569e+59
trip,5.7912604554185225e+59
specie,5.7104909514557805e+59
ma table,5.654359909993864e+59
provide,5.617751863399432e+59
api will,5.612284634525573e+59
apps that,5.581062474216601e+59
bitcoins,5.57541278523143e+59
training,5.545340749902485e+59
with tool,5.539025967102443e+59
company is,5.538484816693201e+59
technology that,5.530617720973738e+59
parcel,5.515794848539144e+59
intrinio,5.452685482505672e+59
genetic,5.409017095912607e+59
video analytics,5.40265274427572e+59
bus,5.40244290193039e+59
harvard,5.376983278424399e+59
metro,5.341097769274532e+59
infrastructure,5.339267232009696e+59
online game,5.2401772116978195e+59
gi,5.224525481454174e+59
can either,5.168357806473987e+59
business service,5.162180632192389e+59
building,5.137228248944271e+59
entity,5.108091393548027e+59
record,4.94651965646431e+59
intrinio is,4.922052837300689e+59
possible for,4.898325817085435e+59
rental,4.886296254016011e+59
fan,4.880682422599211e+59
keep track,4.878346074145204e+59
newsletter,4.805126971650052e+59
request can,4.746043677310367e+59
mutual,4.7112929981690015e+59
outside,4.705664833324159e+59
chatting,4.641309206004367e+59
planning with,4.603145584042151e+59
navigation,4.585368229503797e+59
format,4.569418165450106e+59
visit,4.559971877509994e+59
any time,4.55249497394929e+59
doe,4.476799124344931e+59
prediction,4.461245568852349e+59
radio station,4.459684454260792e+59
without having,4.400725569694135e+59
of scientific,4.395116654910011e+59
legal,4.305710597378212e+59
for user,4.285889593767733e+59
image their,4.22798042261293e+59
support json,4.221729775013864e+59
advertiser,4.217369503514954e+59
which includes,4.199927895962155e+59
astronomical,4.192091468396141e+59
containing,4.167830638650895e+59
their video,4.14478652249328e+59
knowledge,4.135155429577209e+59
save,4.132128442502741e+59
for example,4.1051268595976565e+59
drug,4.096063043054163e+59
transmission,4.0863246108948115e+59
competition,4.052235030789568e+59
detail,4.049934288451141e+59
affiliate,4.042710320453438e+59
event that,4.030198062982268e+59
icc indian,3.956541385580417e+59
support retrieval,3.9564575467618064e+59
with automated,3.943819158488745e+59
here,3.9337930604986653e+59
relation,3.9162311653091517e+59
analysis of,3.897213588363651e+59
thesaurus,3.8931991716948375e+59
mailbox,3.8692802352722467e+59
committee,3.852196470705642e+59
obtain,3.8244582558860463e+59
map api,3.822226576273005e+59
congress,3.753778833696849e+59
tool,3.7535341688935017e+59
sequence alignment,3.742515519686175e+59
purchasing,3.7337365228327657e+59
card,3.7115115521003585e+59
integration,3.6442322245521828e+59
email campaign,3.6393827425954794e+59
english,3.6375351184508245e+59
manage their,3.6215504032312066e+59
airport,3.618915152941008e+59
betting related,3.603373132125918e+59
live score,3.591888558602636e+59
bioinformatics,3.587032389759384e+59
desired result,3.565090374564722e+59
brings,3.481932544799193e+59
formatted,3.4649319628043876e+59
data feed,3.4263486097718034e+59
trade,3.4079599103903117e+59
campaign,3.405420481143376e+59
clickbank,3.3821248796269857e+59
search engine,3.377882499278099e+59
sentiment,3.3629147296505697e+59
service company,3.3534234381047187e+59
telephone,3.3263652914867864e+59
currency,3.326154233725701e+59
component,3.313796239707458e+59
also can,3.2771343509288175e+59
for more,3.2498718240392504e+59
associated,3.229397410572205e+59
game developer,3.1849463837239763e+59
embed,3.168361594881358e+59
county,3.166625179193778e+59
long,3.1533222186843177e+59
api call,3.150168066647203e+59
latitude longitude,3.13245528424878e+59
sell,3.0971961084210967e+59
rackspace,3.0955955226080335e+59
serving,3.0511611047278903e+59
engagement,2.9695635262554343e+59
language,2.9565047594168815e+59
fm,2.946525098000796e+59
request for,2.934886684064971e+59
that application,2.9073302771236264e+59
fraud,2.905994350161462e+59
available by,2.8857692496537343e+59
deal,2.885306416464317e+59
api access,2.8297078125917e+59
label,2.812434393475072e+59
optimizes,2.7953653311234206e+59
supported,2.792343850650579e+59
spatial,2.789423857909389e+59
fantasy sport,2.741083859089031e+59
android,2.7221085546545624e+59
requirement delivers,2.67454103745965e+59
order book,2.646636907601548e+59
amount of,2.645261235909028e+59
web page,2.5861017505424847e+59
social,2.5748548498581635e+59
research,2.4919103889945216e+59
address,2.4706428894180167e+59
office,2.4276421809764346e+59
historical,2.3767281565808087e+59
ipad,2.364800083867809e+59
user,2.344206112566125e+59
soap call,2.326225909393499e+59
incident,2.3154167270050423e+59
of apis,2.294477661998068e+59
bbva,2.29339935728203e+59
lb,2.2932738227848403e+59
division,2.257680614202153e+59
api provides,2.2495836804260566e+59
largest,2.238165457551446e+59
objective,2.2018140496001153e+59
integrated into,2.175929651092373e+59
net,2.1386682732564533e+59
api offer,2.133576859199521e+59
returned,2.1255049039446155e+59
protection,2.1082218816254166e+59
happening,2.10596315074886e+59
soap,2.100768791058923e+59
monitoring,2.097990437127785e+59
code,2.097430884690741e+59
json jsonp,2.0885089251127168e+59
database,2.085088458905291e+59
route,2.0588280256346436e+59
stats,2.05282687925922e+59
routing,2.043553090904348e+59
recipient,2.0385988571121086e+59
volume are,2.023615511128264e+59
condition,2.010420208159835e+59
email for,1.9880910133208177e+59
