feature,importance
of,0.20168549
is,0.15731859
with,0.14186306
intrinio,0.13164635
data,0.12273633
api,0.122483425
for,0.121765204
service,0.11070183
egnyte,0.107804716
estate,0.10652862
bitcoin,0.10551198
imagga,0.10454085
sport,0.100475885
travel,0.09798926
xml,0.09555627
developer,0.08713258
user,0.0855684
provides,0.08473055
allows,0.08181912
information,0.08068642
that,0.078310855
application,0.07473298
artist,0.07120595
government,0.069538124
by,0.06853956
mendix,0.06712938
ecommerce,0.06703934
platform,0.0669162
vehicle,0.06673485
internet of,0.06491306
voice,0.064845435
ooyala,0.061444953
can,0.060422517
bbva,0.058727726
access,0.05842068
are,0.058179
salesforce,0.05801158
online,0.057368606
other,0.05690372
banking,0.056229137
be,0.055743113
parcel,0.053533506
json,0.050222903
file,0.048854712
it,0.048347864
imagery,0.046775714
this,0.04666088
protein,0.0459036
api allows,0.045267086
museum,0.044968423
search,0.043970224
docker,0.042790517
lead,0.042698327
from,0.041827474
available,0.04059431
invoice,0.040438738
mobile,0.040263686
call,0.040033925
their,0.03899934
customer,0.038687967
github,0.03860732
us,0.037886407
site,0.037598643
collaboration,0.037514944
api is,0.03683154
payment,0.036741186
support,0.03582075
format,0.035808146
tool,0.035591852
more,0.035365835
account,0.035264723
also,0.034839146
you,0.034604188
problem,0.034521937
cryptocurrency,0.033525724
restful,0.033432726
use,0.03309802
allows user,0.033083845
image,0.032273542
tv,0.03212652
time,0.032057963
database,0.031908497
event,0.031852853
password,0.03170131
mambu,0.0313111
price,0.030979883
communication,0.03094171
dns,0.030885963
business,0.03076806
new,0.030437717
all,0.030329894
product,0.03029385
create,0.02979705
web,0.029782161
message,0.029706132
trip,0.029680982
management,0.02920615
rest,0.029074132
your,0.027806165
offer,0.027707761
domain,0.02746771
based,0.027174259
functionality,0.027024712
including,0.026795464
return,0.02673582
soap,0.02663295
song,0.02637382
content,0.02629689
financial,0.025937177
access information,0.025885921
method,0.025665333
request,0.025500901
liveperson,0.025500331
course,0.025227904
structured,0.0252212
integrate,0.025168382
location,0.02486264
document,0.024002915
website,0.02359508
stock,0.02343462
system,0.023213023
storage,0.023062116
detection,0.022486882
car,0.022426996
political,0.022252772
bank,0.022043467
cloud,0.021818077
provider,0.021408798
social,0.021347096
