Category,Sample_Count,Word_Count_Min,Word_Count_Max,Word_Count_Avg,Char_Length_Min,Char_Length_Max,Char_Length_Avg,Top_10_Words
Mapping,359,4,355,78.52089136490251,18,1982,451.21448467966576,"api(599), data(329), maps(254), map(236), service(200), location(181), developers(179), allows(176), applications(165), provides(157)"
Social,432,18,413,78.29629629629629,85,2131,447.5208333333333,"api(757), social(453), users(402), data(282), allows(261), developers(235), access(213), applications(197), user(170), service(154)"
Video,249,20,264,72.87951807228916,124,1463,417.87550200803213,"video(487), api(470), videos(193), allows(158), users(154), developers(140), applications(118), platform(108), content(107), service(102)"
Photos,184,10,176,71.7445652173913,60,1041,405.7119565217391,"api(339), photos(155), users(134), photo(117), images(116), allows(111), developers(108), image(107), service(92), access(73)"
eCommerce,462,13,229,75.88528138528139,68,1284,442.74675324675326,"api(846), developers(269), allows(257), users(239), data(205), access(203), information(195), applications(193), product(192), products(190)"
Telephony,297,17,199,74.56565656565657,84,1154,432.7239057239057,"api(460), phone(184), applications(165), calls(162), allows(162), service(161), users(156), mobile(148), voice(147), services(147)"
Music,191,5,238,72.85340314136126,21,1445,409.08376963350787,"music(319), api(311), users(118), allows(110), access(104), developers(91), data(78), service(74), information(69), applications(69)"
Search,251,7,275,79.22310756972112,34,1566,458.0876494023904,"api(450), search(410), service(136), data(135), users(133), developers(118), access(115), allows(113), provides(104), results(93)"
Messaging,509,16,207,73.13163064833006,88,1208,417.0196463654224,"sms(1032), api(839), messages(489), users(415), send(367), messaging(356), service(293), allows(284), applications(263), developers(230)"
Tools,758,19,257,73.60686015831135,109,1350,422.41820580474933,"api(1294), users(542), allows(438), service(427), data(407), developers(378), applications(345), provides(295), web(253), access(249)"
Storage,99,25,157,76.56565656565657,126,901,442.8484848484849,"api(169), storage(121), users(81), data(80), cloud(77), service(74), files(73), access(65), allows(62), file(53)"
Advertising,224,30,197,78.34375,173,1089,465.35714285714283,"api(428), advertising(169), developers(161), allows(153), users(142), access(138), service(115), applications(114), platform(110), marketing(101)"
Reference,250,20,244,80.452,89,1391,464.988,"api(378), data(210), information(143), service(126), access(125), provides(120), xml(96), users(93), web(83), search(80)"
Cloud,173,30,168,73.48554913294798,168,921,427.39884393063585,"cloud(336), api(331), developers(132), data(127), service(107), applications(103), users(95), allows(85), provides(71), access(71)"
Analytics,115,31,150,68.24347826086957,191,840,397.3565217391304,"api(210), data(118), analytics(98), developers(64), provides(53), access(51), allows(48), json(47), service(42), users(42)"
Events,108,18,179,76.52777777777777,90,982,438.06481481481484,"api(202), events(178), event(112), developers(64), users(64), information(64), data(57), allows(55), access(45), applications(36)"
Payments,457,25,216,76.38730853391685,150,1263,458.1859956236324,"api(762), payment(674), payments(439), allows(298), service(256), online(238), developers(227), applications(214), services(183), card(181)"
Enterprise,410,25,218,78.25853658536586,116,1285,472.1951219512195,"api(663), data(281), allows(249), service(232), users(226), applications(219), access(219), developers(211), information(192), provides(186)"
Other,157,6,205,74.03184713375796,33,1013,424.88535031847135,"api(241), data(111), users(108), access(91), allows(90), developers(81), applications(78), web(65), service(63), information(62)"
Media,82,28,138,78.5609756097561,172,851,447.8292682926829,"api(119), media(101), content(62), allows(52), users(42), video(41), service(40), applications(40), access(38), developers(34)"
Weather,131,25,174,80.69465648854961,142,1027,478.6793893129771,"weather(325), api(226), data(208), provides(89), information(69), location(67), service(61), developers(57), forecast(54), forecasts(52)"
Shipping,134,24,229,78.76865671641791,168,1303,469.05223880597015,"shipping(197), api(193), service(102), delivery(89), tracking(75), provides(74), services(70), allows(60), available(56), information(55)"
Database,135,29,315,77.77037037037037,148,1891,444.837037037037,"api(238), data(201), database(117), users(80), allows(71), access(66), developers(65), service(64), applications(62), information(61)"
Travel,240,6,271,80.02916666666667,30,1570,466.09583333333336,"api(417), travel(268), information(162), data(116), booking(114), users(113), access(109), search(104), allows(102), provides(101)"
